caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20050421,106.04053652566697,-0.6570086,1.63494,1.7620128,158.10704040527344,13.680999999999983
ish_20050422,162.23286668027166,-2.7976844,2.000739,3.439476,125.57012939453125,11.932000000000016
ish_20050427,222.90337042863993,-5.3274503,-1.8442184,5.63763,70.90553283691406,15.36099999999999
ish_20050428,120.5461221850725,-2.1857567,0.8411064,2.342006,111.04734802246094,15.113
ish_20050429,248.30534608947139,1.686814,5.80314,6.043325,196.20770263671875,15.785000000000025
ish_20050430,341.2342866467057,6.0673347,9.304733,11.108132,213.10715866088867,15.447000000000003
ish_20051004,229.77341451247406,-5.7943654,2.10898,6.166236,110.00004577636719,14.526999999999987
ish_20051005,193.0684659219389,-4.6459165,-0.0907368,4.6468024,88.88111877441406,11.908999999999992
ish_20051006,231.11209407022005,-3.9584672,-1.0693398,4.10036,74.88294982910156,11.861999999999966
ish_20051007,420.6557188588687,-5.626856,1.8548225,5.924683,108.24415588378906,14.427999999999997
ish_20051010,265.44236772148014,-5.544253,-0.8494206,5.608944,81.28958129882812,14.261000000000024
ish_20051024,248.29569785005629,-4.819983,-6.9298115,8.441239,34.820281982421875,14.48599999999999
ish_20051025,371.8403093608943,-3.4352252,7.0585065,7.85005,154.0488052368164,14.490999999999985
ish_20051026,218.41519987603,-4.1512012,4.3562884,6.0174513,136.38095092773438,12.632000000000005
ish_20051027,205.28047326335414,-6.8447742,-1.5344995,7.014672,77.36404418945312,13.73599999999999
ish_20051028,134.821465058099,-4.7258725,1.4762157,4.951069,107.34719848632812,13.569000000000017
ish_20051031,297.2785787444418,-6.9934363,-7.914995,10.561975,41.4627685546875,15.353999999999985
ish_20051101,228.94260877836106,-7.8825374,-4.8826833,9.27227,58.22465515136719,17.875
ish_20051102,168.87514343072417,-6.3007145,0.6896437,6.3383446,96.24644470214844,16.638000000000034
ish_20051103,147.006068010392,-6.082085,-0.9393616,6.1541986,81.22018432617188,16.234999999999957
ish_20051104,191.59709313699778,-5.9732013,2.4610033,6.460315,112.39202880859375,17.262
ish_20051105,151.48331790922708,-3.0067208,2.5811508,3.9626644,130.64479064941406,15.896999999999991
ish_20051106,201.75550061301408,3.2631874,5.6633744,6.5362225,209.95017623901367,15.510999999999967
ish_20051108,278.47401090880123,1.1492118,4.823875,4.9588766,193.40003204345703,15.305000000000007
ish_20051117,284.3778341134514,-6.0874963,-7.804152,9.897595,37.955406188964844,14.528999999999996
ish_20051121,389.51594771164775,-6.5317855,-11.715245,13.413097,29.14166259765625,17.125
ish_20051122,329.53967125269816,-9.743891,-6.5365033,11.733255,56.14506530761719,14.228000000000009
ish_20051124,303.5944197911941,-5.351173,-7.4125156,9.142234,35.825904846191406,15.538999999999987
ish_20051125,171.12530297342656,-2.6058626,-4.838914,5.495963,28.303436279296875,12.576999999999998
ish_20051126,184.29742909385453,-4.0074925,2.3137481,4.6274643,120.00022888183594,11.213000000000022
ish_20051127,169.51655991542466,-5.6858697,-3.420335,6.635345,58.970977783203125,13.298000000000002
ish_20051130,188.9928299213903,-4.9060674,-3.5739677,6.0698223,53.92742919921875,13.041999999999973
ish_20051201,246.15763303223574,-8.203782,2.31081,8.523021,105.73126220703125,9.22199999999998
ish_20051208,248.54984211419207,-11.30453,-3.9354832,11.96998,70.80528259277344,10.206999999999994
ish_20051209,294.24132285258304,-10.671977,1.2854161,10.749111,96.86807250976562,14.069000000000017
ish_20051218,168.1819643025553,-4.761009,-11.190529,12.161215,23.047317504882812,20.98399999999998
ish_20051219,113.84692933521282,-7.7031646,-3.0192811,8.273742,68.59713745117188,14.413999999999987
ish_20051223,48.67636232745326,-2.1543272,-3.3553658,3.9874308,32.702659606933594,23.38100000000003
ish_20051224,63.913395788104125,-2.5517578,-3.0830843,4.002109,39.61332702636719,22.795999999999992
ish_20051227,218.48156897250254,-8.225539,-6.2871423,10.353147,52.60771179199219,18.232000000000028
ish_20051228,246.7985725465949,-10.053501,0.07086179,10.053751,90.40383911132812,18.286
ish_20051229,302.35681727870474,-6.220169,5.155391,8.0788965,129.65257263183594,16.040999999999997
ish_20060103,170.31385369948967,-4.2740874,-2.0293567,4.731396,64.60140991210938,8.899000000000001
ish_20060104,85.17270715750728,-3.4059193,1.5277079,3.7328513,114.15838623046875,10.982000000000028
ish_20060110,305.92871550813675,-8.056354,-7.4304676,10.959776,47.314300537109375,13.642999999999972
ish_20060111,360.8885270145506,-12.978878,-1.0940496,13.024908,85.18165588378906,15.151999999999987
ish_20060112,712.4693624714279,-15.152749,2.3601496,15.335453,98.85310363769531,16.01800000000003
ish_20060114,83.0088549924693,-0.08081559,-1.7296878,1.7315748,2.6750564575195312,23.474999999999966
ish_20060115,187.09698239381336,-6.3311477,-0.113506235,6.332165,88.97288513183594,17.437000000000012
